tr_yearlyrank,tr_title,tr_artist_id,tr_dateentered,tr_datepeaked
1968_005,"People Got To Be Free",4598,1968-07-20,NULL
1968_020,"Born To Be Wild",4607,1968-07-13,NULL
1968_033,"Light My Fire",1659,1968-07-27,NULL
1968_014,"Harper Valley P.T.A.",4602,1968-08-24,NULL
1968_011,"Hello, I Love You",4447,1968-07-06,NULL
1968_061,"The House That Jack Built",1190,1968-08-17,NULL
1968_052,"1,2,3 Red Light",4613,1968-07-27,NULL
1968_074,"You're All I Need To Get By",547,1968-07-27,NULL
1968_084,"I Can't Stop Dancing",4599,1968-07-20,NULL
1968_089,"Stay In My Corner",4534,1968-06-29,NULL
1968_054,"Sunshine Of Your Love",4619,1968-01-13,NULL
1968_065,"You Keep Me Hangin' On",4543,1968-07-13,NULL
1968_044,Hush,4615,1968-08-17,NULL
1968_068,"Turn Around, Look At Me",4136,1968-06-15,NULL
1968_122,"Love Makes A Woman",821,1968-07-13,NULL
1968_024,"Classical Gas",1181,1968-06-22,NULL
1968_064,"The Fool On The Hill",4359,1968-08-10,NULL
1968_063,"Slip Away",1242,1968-07-13,NULL
1968_129,"Journey To The Center Of The Mind",4637,1968-06-29,NULL
1968_140,Soul-Limbo,4103,1968-07-13,NULL
1968_146,"Sealed With A Kiss",4124,1968-06-22,NULL
1968_157,"Do It Again",3873,1968-07-27,NULL
1968_096,"I Say A Little Prayer",1190,1968-08-17,NULL
1968_030,"Stoned Soul Picnic",4465,1968-06-01,NULL
1968_105,"Dream A Little Dream Of Me",4630,1968-07-06,NULL
1968_194,"Please Return Your Love To Me",3932,1968-08-03,NULL
1968_186,"Magic Bus",4265,1968-08-10,NULL
1968_207,"Mr. Businessman",4418,1968-08-03,NULL
1968_179,"Tuesday Afternoon (Forever Afternoon)",4154,1968-07-20,NULL
1968_076,"I've Gotta Get A Message To You",4475,1968-08-17,NULL
1968_106,"Pictures Of Matchstick Men",4631,1968-05-18,NULL
1968_204,"The Eyes Of A New York Woman",4310,1968-06-22,NULL
1968_234,"Girls Can't Do What The Guys Do",2295,1968-08-03,NULL
1968_238,"I Get The Sweetest Feeling",637,1968-07-20,NULL
1968_135,"On The Road Again",4639,1968-08-10,NULL
1968_235,"Down At Lulu's",4499,1968-08-03,NULL
1968_195,"Special Occasion",607,1968-08-17,NULL
1968_048,"Girl Watcher",4617,1968-08-17,NULL
1968_198,"Alice Long (You're Still My Favorite Girlfriend)",4510,1968-07-06,NULL
1968_273,"I've Never Found A Girl (To Love Me Like You Do)",870,1968-07-27,NULL
1968_057,"Hurdy Gurdy Man",4176,1968-06-22,NULL
1968_283,"I Can't Dance To That Music You're Playin'",4472,1968-08-10,NULL
1968_289,"Give A Damn",4470,1968-08-03,NULL
1968_200,"The Snake",4650,1968-08-17,NULL
1968_026,"Little Green Apples",4609,1968-08-17,NULL
1968_219,"Hip City (Part 2)",4133,1968-08-10,NULL
1968_293,"Brown Eyed Woman",227,1968-08-03,NULL
1968_312,"Six Man Band",4287,1968-08-24,NULL
1968_278,"I Wish It Would Rain",3983,1968-08-24,NULL
1968_246,"Help Yourself",676,1968-08-31,NULL
1968_097,"Time Has Come Today",4627,1968-08-10,NULL
1968_230,"Who Is Gonna Love Me",3910,1968-08-24,NULL
1968_344,"Morning Dew",4445,1968-08-10,NULL
